Artist,Title,Version,Year,Duration,ISRC,Explicit,Release,Release Label,Release Date,Release Artist,UPC
DirtySnatcha,Fat Bluntz,,2018,3:06,QM42K1803115,,Fat Bluntz,DirtySnatcha,10/8/2018,DirtySnatcha,053000200048
DirtySnatcha,The Journey,,2018,2:59,QM42K1870275,,The Journey,DirtySnatcha,12/13/2018,DirtySnatcha,053000856832
DirtySnatcha,Losing Myself,,2018,3:17,QM42K1857339,,Losing Myself,DirtySnatcha,11/23/2018,DirtySnatcha,053000263975
DirtySnatcha,Fuck Face,,2018,2:40,QM42K1854706,,Fuck Face,DirtySnatcha Records,6/2/2018,DirtySnatcha,053000885030
DirtySnatcha,Higher,,2018,3:14,QM42K1880165,,Death & Destruction Vol. I,Dead Cell Audio,8/31/2018,Various Artists,053000722069
DirtySnatcha,IGDITB,,2018,2:45,QM42K1849049,,IGDITB,DirtySnatcha Records,7/15/2018,DirtySnatcha,053000244219
"DirtySnatcha, Renegvde",All Out VIP,,2018,3:14,QM42K1856457,,All Out VIP,DirtySnatcha Records,6/1/2018,"DirtySnatcha, Renegvde",053000263784
"DirtySnatcha, Renegvde",Move,,2018,3:39,QM42K1847914,,Move,DirtySnatcha Records,6/29/2018,"DirtySnatcha, Renegvde",053000854623
"DirtySnatcha, Herculez",Thin Air,,2018,4:39,QM42K1856648,,Thin Air,DirtySnatcha Promotions,2/10/2018,"DirtySnatcha, Herculez",053000156963
"DirtySnatcha, Elektrik Souls",Nu Fire,,2018,3:16,QM42K1895336,,Nu Fire,DirtySnatcha,6/9/2018,"DirtySnatcha, Elektrik Souls",053000830566
"DirtySnatcha, Bass System, Rico Act",Get Fucked,,2018,3:06,QM42K1831183,Explicit,Get Fucked,DirtySnatcha Records,8/21/2018,"DirtySnatcha, Bass System, Rico Act",053000183815
Dirtysnatcha,Westside Rolling (Krushendo Remix),,2019,4:27,QZHN91997294,,,,,,
DirtySnatcha,Not Letting Go,,2019,3:13,QM42K1941324,,Not Letting Go,DirtySnatcha,3/4/2019,DirtySnatcha,053000471370
DirtySnatcha,Rush,,2019,3:19,QM42K1815208,,Rush,DirtySnatcha,1/4/2019,DirtySnatcha,053000558170
DirtySnatcha,Tear Up,,2019,3:47,QM42K1908356,Explicit,Tear Up,DirtySnatcha,3/15/2019,DirtySnatcha,053000847052
"Lucii, Dirtysnatcha",I Need Your High,,2019,4:07,CA5KR1968502,,I Need Your High,Wakaan,11/22/2019,Dirtysnatcha ♦ Lucii,735119256054
"DirtySnatcha, Rico Act",Heavy Duty,,2019,3:51,QM42K1907604,,Heavy Duty,DirtySnatcha,2/15/2019,"DirtySnatcha, Rico Act",053000456247
Sparkee Live and DirtySnatcha,Hot Girl Riddim,,2019,4:08,QZHN71968576,,,,,,
DIRTYSNATCHA,DirtySnatcha - AK-47,,2020,1:22,QM42K1503104,,,,,,
DIRTYSNATCHA,Rusko - Woo Boost (DirtySnatcha Remix),,2020,3:01,QM42K1710741,,,,,,
DirtySnatcha,Head Bang,,2020,3:02,GBWUL2077085,,,,,,
DirtySnatcha,Lover,,2020,2:20,QZ5FN2068874,,,,,,
DirtySnatcha,Take You Higher,,2020,2:52,QZ5FN2063441,,Take You Higher,DSV Audio,8/24/2020,DirtySnatcha,195039601981
DirtySnatcha,Dance With Me,,2020,3:21,QZ5FN2096166,,,,,,
DIRTYSNATCHA,This Is What You Came For (DirtySnatcha Remix),,2020,3:41,QM42K1710738,,,,,,
DirtySnatcha,DIRTYSNATCHA - .45 (CHMST REMIX) [FREE DOWNLOAD] + YOUTUBE VIDEO,,2020,3:41,QM42K1602886,,,,,,
DIRTYSNATCHA,DirtySnatcha - SKRRR,,2020,3:28,QM42K1824431,,,,,,
DirtySnatcha,DirtySnatcha - Smoke Dat,,2020,2:42,QM42K1953240,,,,,,
DirtySnatcha,DirtySnatcha - Still That,,2020,2:46,QM42K1793718,,,,,,
DirtySnatcha,Still That,,2020,2:47,QM42K1724195,,,,,,
DirtySnatcha,Doodle Doo,,2020,3:05,GBWUL2071410,,,,,,
DIRTYSNATCHA,DIRTYSNATCHA - GOD DAMN (Free Download),,2020,3:05,QM42K1853983,,,,,,
DirtySnatcha,DIRTYSNATCHA - HOES (FREE DOWNLOAD),,2020,2:58,QM42K1607007,,,,,,
DirtySnatcha,DirtySnatcha - Swerve,,2020,2:58,QM42K1607924,,,,,,
DirtySnatcha,DirtySnatcha - Hustler,,2020,2:33,QM42K1810908,,,,,,
DirtySnatcha,DirtySnatcha - Pack Gats,,2020,2:34,QM42K1814378,,,,,,
Bommer & DirtySnatcha,DirtySnatcha & Bommer - Krew,,2020,3:00,QM42K1810725,,,,,,
DirtySnatcha Promotions,ZUZE - Exitium,,2020,2:10,QM42K2005198,,,,,,
DirtySnatcha Promotions,Batsy - Murder Capital (Free Download),,2020,3:20,QM42K1601939,,,,,,
Dirtysnatcha & Squnto,DirtySnatcha & Squnto - Hash,,2020,3:20,QM42K1601430,,,,,,
DirtySnatcha Records,Busta Grymez - Corrupt [Dubstep Collective Exclusive],,2020,3:45,QM42K1607010,,,,,,
DirtySnatcha Records,Evoid - Circles (Free Download),,2020,3:45,QM42K1609656,,,,,,
DirtySnatcha Records,12th Hour - Get This Money [AVAILABLE NOW],,2020,4:31,QM42K1604662,,,,,,
DirtySnatcha Records,Motus & Artix - Vegeta (Free Download),,2020,4:34,QM42K1609429,,,,,,
DirtySnatcha Records,Brikz - Grimey (Free Download),,2020,4:40,QM42K1609416,,,,,,
DirtySnatcha Records,Abstrukt & Chmst - Keep It Hood (Free Download),,2020,4:53,QM42K1609419,,,,,,
DirtySnatcha Records,WE KILLED HANNAH - SLEEPLESS (FREE DOWNLOAD),,2020,4:13,QM42K1703075,,,,,,
DirtySnatcha Records,Chmst - Riddim Of The Night (Free Download),,2020,4:25,QM42K1607852,,,,,,
DirtySnatcha Promotions,Paix X Aryaxz - Black Machine Gun (Free Download),,2020,4:06,QM42K1601943,,,,,,
DirtySnatcha Records,ASTRALONE - THE DARKSTALKER (FREE DOWNLOAD),,2020,4:59,QM42K1607887,,,,,,
DirtySnatcha Promotions,Styn & Deemed - Enemy Blockz (Nukez Remix),,2020,5:01,QM42K1841604,,,,,,
DirtySnatcha Records,Martz X Skenz X Psycho - Question (Free Download),,2020,5:08,QM42K1611740,,,,,,
DirtySnatcha Promotions,Markzman - Gotta Say (Free Download),,2020,5:32,QM42K1602696,,,,,,
DirtySnatcha Promotions,XaeboR - Sidehoe (Chewbaka Remix) (Free Download),,2020,3:27,QM42K1601944,,,,,,
DirtySnatcha Records,Katzu - War Dub (Free Download),,2020,3:53,QM42K1607758,,,,,,
DirtySnatcha Records,Pandemic - Slayer [Dubstep Collective Exclusive],,2020,3:13,QM42K1606385,,,,,,
DirtySnatcha Promotions,Notorious - Broken (Free Download),,2020,4:29,QM42K1504005,,,,,,
DirtySnatcha Promotions,Notorious Ft.MagMag - Embers (DSP EXCLUSIVE),,2020,4:34,QM42K1503879,,,,,,
DirtySnatcha Records,Zexion X Genso X Pharma - Saiyuki (Free Download),,2020,4:34,QM42K1611185,,,,,,
DirtySnatcha Records,Flix - Limiter (Free Download),,2020,4:34,QM42K1611725,,,,,,
DirtySnatcha Records,Calcium - Try Me (Free Download),,2020,3:25,QM42K1609657,,,,,,
DirtySnatcha Promotions,KΛL- EL & Ten Ply - Ogre,,2020,3:26,QM42K2073108,,,,,,
DirtySnatcha Records,Chewbaka - Evolve (Free Download),,2020,3:29,QM42K1610110,,,,,,
DirtySnatcha Records,Villain - Symmetry (Free Download),,2020,4:44,QM42K1607792,,,,,,
DirtySnatcha Promotions,FESTIVILLAINZ - POWER LEVEL (FREE DOWNLOAD),,2020,3:12,QM42K1607596,,,,,,
DirtySnatcha Records,Saunter - The Dragon (Free Download),,2020,3:16,QM42K1611732,,,,,,
"DirtySnatcha,Autokorekt",Need U,,2020,3:18,QZ5FN2012069,,,,,,
DirtySnatcha Promotions,Gh0sh x Villain x Unnatural Forces - Brain Rot (Free Download),,2020,6:41,QM42K1503996,,,,,,
DirtySnatcha Records,Batikz - Final Boss (Free Download),,2020,7:46,QM42K1611733,,,,,,
DirtySnatcha Records,Brikz & Griefer - Darkness (Free Download),,2020,4:37,QM42K1610346,,,,,,
DirtySnatcha Records,R2D2 X VALK X MADCORE - JUSTICE (FREE DOWNLOAD),,2020,3:46,QM42K1611720,,,,,,
DirtySnatcha Promotions,Ivory X Ganon - Fire (Free Download),,2020,3:11,QM42K1601927,,,,,,
DirtySnatcha Records,ORIGINAL ID - Attack On Egypt [Dubstep Collective Exclusive],,2020,3:03,QM42K1607011,,,,,,
DirtySnatcha Records,"ZAYAH B - HERE WE GO (20,000 FOLLOWERS EXCLUSIVE)",,2020,2:33,QM42K1607848,,,,,,
DirtySnatcha & Monxx,Damn Gurl,,2020,2:41,QM42K1784644,,,,,,
"Foreign Twiinz, DirtySnatcha",Love Is On Fire,,2020,3:02,CA5KR2019733,,Love Is On Fire,Electrostep Network,3/21/2020,"Foreign Twiinz, DirtySnatcha",053000062622
Mutant & DirtySnatcha Promotions,Mutant - Luigi Skank (DSP Exclusive),,2020,4:34,QM42K1783393,,,,,,
Metlad & DirtySnatcha Promotions,Metlad - Drop It Like Its Hench (DSP Exclusive),,2020,4:35,QM42K1712002,,,,,,
Wizkerz & DirtySnatcha Promotions,Wizkerz - Knockout (Free Download),,2020,4:48,QM42K1606369,,,,,,
DIRTYSNATCHA PROMOTIONS & CALCIUM,CALCIUM - VORTEX BASS (FREE DOWNLOAD),,2020,4:00,QM42K1848068,,,,,,
EMOXX & DirtySnatcha Promotions,Emoxx - You Have Been Warned (Free Download),,2020,4:00,QM42K1602295,,,,,,
Subtronics & DirtySnatcha Promotions,Subtronics - Nightmare,,2020,3:54,QM42K1601936,,,,,,
Murda & DirtySnatcha Promotions,MurDa - Dark Force (Exclusive),,2020,4:06,QM42K1601937,,,,,,
ApoK & DirtySnatcha Promotions,ApoK - Hive (Free Download),,2020,3:44,QM42K1601938,,,,,,
Chewbaka & DirtySnatcha Promotions,Chewbaka - Ascension (Free Download),,2020,3:29,QM42K1601960,,,,,,
"Riot Ten, DirtySnatcha",Bring It Back,,2020,2:47,USDM32024001,,Hype Or Die: Emergence,Dim Mak Records,6/12/2020,Riot Ten,810012534598
DirtySnatcha & Matt Doe,More Than This ft. Katie Sky,,2020,3:38,QZHCR2000101,,More Than This ft. Katie Sky,Subsidia,9/27/2020,DirtySnatcha & Matt Doe,810060811030
"DirtySnatcha,Matt Doe",Crashing,,2020,2:57,GBWUL2054729,,,,,,
DirtySnatcha Promotions & JG DUBZ,JG DUBZ - MINIMAL (FREE DOWNLOAD),,2020,5:46,QM42K1816237,,,,,,
Phex & Metlad & DirtySnatcha Promotions,Phex & Metlad - Cyclone Revised (DSP Exclusive),,2020,5:01,QM42K1767422,,,,,,
Hydrize & Thisink & DirtySnatcha Promotions,Thisink & Hydrize - Dissemble (Free Download) + YouTube Video!,,2020,5:05,QM42K1603992,,,,,,
