date,listeners,monthly_listeners,monthly_active_listeners,super_listeners,streams,playlist_adds,saves,followers
2024-01-01,473,12638,3325,44,527,30,14,1290
2024-01-02,562,12673,3267,46,646,44,3,1289
2024-01-03,673,12826,3244,42,767,25,21,1289
2024-01-04,740,13049,3251,42,833,36,10,1291
2024-01-05,545,12993,3252,40,613,54,17,1291
2024-01-06,540,12945,3276,43,611,35,20,1291
2024-01-07,601,13049,3300,42,658,24,14,1291
2024-01-08,542,13016,3268,43,608,52,13,1290
2024-01-09,579,12944,3228,46,653,49,10,1291
2024-01-10,1193,13502,3225,42,1599,28,10,1291
2024-01-11,880,13725,3211,41,997,42,10,1291
2024-01-12,1433,14482,3220,41,1644,49,10,1292
2024-01-13,1530,15349,3236,42,1740,17,19,1294
2024-01-14,993,15853,3247,40,1114,19,14,1296
2024-01-15,1237,16555,3227,39,1445,32,21,1296
2024-01-16,782,16660,3209,35,890,30,15,1296
2024-01-17,1428,17331,3207,33,1689,41,15,1296
2024-01-18,1114,17608,3199,30,1278,35,16,1296
2024-01-19,1288,17724,3202,30,1524,49,20,1297
2024-01-20,944,17992,3204,29,1147,26,9,1297
2024-01-21,971,18288,3189,27,1209,21,11,1297
2024-01-22,1897,19682,3223,28,2217,42,15,1298
2024-01-23,1529,20598,3240,29,1727,33,10,1300
2024-01-24,1512,21484,3248,31,1764,33,15,1300
2024-01-25,1409,22209,3236,32,1668,35,9,1300
2024-01-26,1521,23000,3226,32,1822,50,10,1300
2024-01-27,1605,24113,3217,33,1820,21,14,1300
2024-01-28,981,24591,3175,31,1124,19,10,1301
2024-01-29,1283,25376,3184,34,1500,33,12,1301
2024-01-30,1198,25919,3203,32,1433,27,9,1301
2024-01-31,1284,26431,3236,32,1491,37,13,1301
2024-02-01,1377,27082,3253,31,1583,45,23,1300
2024-02-02,845,27314,3244,28,1051,64,21,1302
2024-02-03,1515,28270,3224,27,1737,37,17,1303
2024-02-04,1078,28791,3209,28,1218,23,10,1304
2024-02-05,940,29216,3248,24,1305,33,14,1306
2024-02-06,1091,29763,3494,27,1303,75,76,1310
2024-02-07,1193,29885,3618,27,1557,38,41,1311
2024-02-08,861,29923,3667,26,969,39,30,1312
2024-02-09,1034,29609,3675,28,1176,45,15,1314
2024-02-10,905,29071,3656,25,987,24,19,1317
2024-02-11,842,28969,3657,26,934,38,27,1318
2024-02-12,1334,29088,3661,28,1586,18,19,1319
2024-02-13,706,29015,3696,27,787,39,27,1321
2024-02-14,1032,28738,3751,28,1166,41,27,1322
2024-02-15,1259,28912,3766,25,1540,26,10,1323
2024-02-16,944,28612,3821,26,1107,52,21,1324
2024-02-17,640,28303,3830,26,738,37,20,1324
2024-02-18,1407,28771,3855,27,1563,17,5,1323
