song,listeners,streams,saves,release_date
"CHAMPION",1158,10886,91,2026-03-06
"Insomnia",307,3316,67,2024
"Sweet Memories Flip",1157,2546,144,2025-08-22
"Blow the Spot",726,1195,15,2023-07-08
"On The Floor",647,837,28,2024
"How You Feeling",512,742,31,2025-11-15
"Sum Dirty",461,673,28,2023-11-22
"I Get Lit",349,502,18,2019-07-01
"Keep On Moving",267,423,9,2024-10-01
"Raw To The Floor",310,402,16,2025-11-01
"Head Drop",214,346,7,2023-02-28
"Listen To The Sound",192,284,4,2025-05-27
"Another Level",151,262,2,2022-11-11
"Soul Rebel - Cover Song",152,258,6,2024-09-18
"Faded - HVRCRFT Extended Remix",194,255,4,2020-03-02
"Irie Feeling",174,236,6,2025-09-23
"Faded - HVRCRFT Remix",149,219,3,2020-03-02
"Hit Em",133,210,9,2026-01-15
"Rude Boy",136,181,11,2025-05-27
"Bottle The Feeling (HVRCRFT Remix)",109,140,5,2019-10-18
"Habit (HVRCRFT Remix)",94,129,6,2019-04-19
"Make It Hot",77,97,2,2025-03-13
"All I See",77,92,3,2018-05-11
"Tonight",60,80,0,2018-07-20
"Coming Down",55,76,1,2022-11-11
"Spaceman",57,72,0,2024-02-01
"Heathen",44,69,1,2025-02-20
"Transcend",46,61,2,2025-08-06
"Smoke",39,57,0,2024-05-29
"Get On My Level (HVRCRFT Remix)",32,50,2,2017-08-18
"Rainbow Country",26,45,2,2024-10-11
"Cosmos 2043",35,40,2,2022-11-11
"Light Up - Remix",31,34,1,2025-04-01
"Spitfire",28,34,3,2025-06-27
"Human Avatar",28,32,1,2022-11-11
"Party Started",18,32,1,2024-03-15
"KOrnerz",21,28,1,2022-11-11
"BRINGS THE BASS",18,26,0,2022-12-01
"Black Roses",19,20,1,2023-06-16
"Kilo",5,16,1,2018-10-19
"Make It Pop",12,14,2,2019-09-20
"Summer 2018",6,11,0,2018-09-07
"BENZAITEN",7,7,2,2021-03-18
"HOW WE DO",5,6,0,2017-11-19
"Stand By Your Side",5,6,0,2019-08-09
"U And Me",5,6,0,2021-07-09
"S4",4,5,0,2022-05-24
"Sound Boy",4,5,0,2019-04-26
"The Business",4,5,0,2021-10-12
"Riot",3,3,0,2020-04-17
