"Product Type","Product Id","Product Title","Product Version","Product Display Artist","Parent Label","Label","Original Release Date","Release Date","UPC","Catalog #","Product Price Tier","Product Genre","Submission Status","Product C Line","Product P Line","Pre-Order Date","Exclusives","ExplicitLyrics","Product Play Link","Liner Notes","Primary Metadata Language","Compilation","PDF Booklet","Timed Release Date","Timed Release Music Services","Last Process Date","Import Date","Created By","Last Modified","Submitted At","Submitted By","Vevo Channel","TrackType","Track Id","Track Volume","Track Number","Track Name","Track Version","Track Display Artist","Isrc","Track Price Tier","Track Genre","Audio Language","Track C Line","Track P Line","Writers","Publishers/Collection Societies","Withhold Mechanicals","Pre-Order Type","Instant Gratification Date","Duration","Sample Start Time","Explicit Lyrics","Album Only","Lyrics","Performing Contributors","Non-Performing Contributors","Producers","Full Continuous Mix","Continuously Mixed Individual Song","Track Play Link"
"Audio","683790b5822cd0ddda925f94","Real Don","","selekta","EDM Spotlight","Dirtysnatcha Records","","5/30/2025",="198704536540","DSR156","$0.70 ($0.99 SRLP) - T2","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"5/30/2025","5/30/2025","thomas@dirtysnatcha.com","5/30/2025","5/29/2025",,,"AudioTrack","68379955740996aebed83ee9",="1",="1","Real Don","","selekta","USA2P2526654","$0.70 ($0.99 SRLP) - T2","Dubstep","Jamaican Creole English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","Tyler Shadbolt <Lyricist>, Tyler Shadbolt <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:45""","=""00:00:39""","no","no","Don’t step on the boi because you know I’m in the place 

Can’t shut me up me have enough things to say 

Real bad don

We all chat lyrics 
From when y’all listen Jana Kramer","","Thomas Nalian <AR>","Tyler Shadbolt","False","False",
"Audio","68447113ab11a05585a721ee","What If?","","Rivibes, Martial Taktics, Mport feat. Monroller, Big Nut Chuck","EDM Spotlight","Dirtysnatcha Records","","6/13/2025",="198704551581","DSR157","$0.70 ($0.99 SRLP) - T2","Drum & Bass","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"6/9/2025","6/9/2025","thomas@dirtysnatcha.com","6/9/2025","6/9/2025",,,"AudioTrack","68447c3f686019519906d988",="1",="1","What If?","","Rivibes, Martial Taktics, Mport feat. Monroller, Big Nut Chuck","USA2P2528445","$0.70 ($0.99 SRLP) - T2","Drum & Bass","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","Ché Leader <Lyricist>, Ché Leader <Composer>, Marc Mount <Lyricist>, Marc Mount <Composer>, Rupert Ziggy Heming <Lyricist>, Rupert Ziggy Heming <Composer>, Collin Burdick <Lyricist>, Collin Burdick <Composer>, Louis Harold Monro <Lyricist>, Louis Harold Monro <Composer>","DirtySnatcha Records Publishing <ASCAP>, LAB10 Publishing <BMI>","yes","","","=""00:03:11""","=""00:00:00""","no","no","What If? 

Hey yo,

It's Rivibes

Listen 

They heard that drum sound on a the map now, a link up man are making 
Been round for a min a now and now I’m in town and it’s shaking 
They said this round man are win now but this crown for the taking 
Switch out, get the rigs out man ticks up now it changing 


Jumping on the track I said I’m back you best believe in it 
Mandem on the map, the bangers slap you know we breathing it 
Mixing up the sound you know I’m down and yeah I seen a bit 
know we heard a lot, catch the drop if you’re feeling it


aye wait what if the drop went wub wub wub wub
ya thats it

aye wait wait wait wait

aye check it

They heard that drum sound on a the map now, a link up man are making 
Been round for a min a now and now I’m in town and it’s shaking 
They said this round man are win now but this crown for the taking 
Switch out, get the rigs out man ticks up now it changing 


Jumping on the track I said I’m back you best believe in it 
Mandem on the map, the bangers slap you know we breathing it 
Mixing up the sound you know I’m down and yeah I seen a bit 
know we heard a lot, catch the drop if you’re feeling it

wait wait wait wait
what if the drop went
wub wub wub wub
Sure

aye wait wait wait wait

aye yeah thats it

a beat go womp womp womp 

a yo you know how we do

hey Mport, Martial Taktics, Monroller, Big Nut Chuck

Its Rivibes Haa ha

Wub wub wub wub","","Thomas Nalian <AR>, Marc Mount <MasteringEngineer>, Marc Mount <MixingEngineer>","Ché Leader,Marc Mount,Rupert Ziggy Heming,Collin Burdick,Louis Harold Monro","False","False",
"Audio","67e2da10163952687f311c1e","Space Boy","","JuJu Beats, Xenotype","EDM Spotlight","Dirtysnatcha Records","","4/4/2025",="198704434600","DSR153","$0.70 ($0.99 SRLP) - T2","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"3/25/2025","3/25/2025","thomas@dirtysnatcha.com","3/25/2025","3/25/2025",,,"AudioTrack","67e2e02d0748bf36d081079d",="1",="1","Space Boy","","JuJu Beats, Xenotype","USA2P2514257","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","Julian Seltzer <Lyricist>, Julian Seltzer <Composer>, Brandon Smith <Lyricist>, Brandon Smith <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:02""","","no","no","Whats a matter?
Space Boy

ahh

Space Boy

Eww

Whats a matter?
Space Boy

Space Boy","","Thomas Nalian <AR>","Julian Seltzer,Brandon Smith","False","False",
"Audio","67edb49647752f423fe16ae9","Freaky","","Kotrax","EDM Spotlight","Dirtysnatcha Records","","5/23/2025",="198704523700","DSR154","$0.70 ($0.99 SRLP) - T2","Dubstep","Released","© 2025 DitySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"5/21/2025","5/21/2025","thomas@dirtysnatcha.com","5/21/2025","5/21/2025",,,"AudioTrack","67edb49e0d0afe8f6d9fb4ae",="1",="1","Freaky","","Kotrax","USA2P2524931","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","Kota Visaggio <Lyricist>, Kota Visaggio <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:02:41""","","yes","no","Freaky 
Finally with that bullshit
Pull up to the crib like
You wanna find out

Freaky 
Finally with that bullshit
Pull up to the crib like
You wanna find out","","Thomas Nalian <AR>","Kota Visaggio","False","False",
"Audio","67d2c645ae5c1297a34c1a90","Check It","","2TD","EDM Spotlight","Dirtysnatcha Records","","4/11/2025",="198704417443","DSR152","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"3/18/2025","3/18/2025","thomas@dirtysnatcha.com","3/18/2025","3/18/2025",,,"AudioTrack","67d2c65d11700d4306839e89",="1",="1","Check It","","2TD","USA2P2512439","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","James Campbell <Lyricist>, James Campbell <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:02:06""","","no","no","check it lyrics.txt
put your back
put your back back back back back back back back
put your back back back back back back back back

i'm bout ta 

drop

put your

drop

put your back back back back back back back back
put your back back back back back back back back
put your back back back back back back back back
put your back back back back back back back back

i'm bout ta 

drop

drop

put your

put your back back back back back back back back
put your back back back back back back back back","","Thomas Nalian <AR>","James Campbell","False","False",
"Audio","67d2c645ae5c1297a34c1a90","Check It","","2TD","EDM Spotlight","Dirtysnatcha Records","","4/11/2025",="198704417443","DSR152","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"3/18/2025","3/18/2025","thomas@dirtysnatcha.com","3/18/2025","3/18/2025",,,"AudioTrack","67d2c65d11700d4306839e8a",="1",="2","Stompah","","2TD","USA2P2512440","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","James Campbell <Lyricist>, James Campbell <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:29""","","no","no","Ive been taking my time but never hit the breaks
Ive been taking my time but never
Ive been taking my time but never
Ive been taking my time but never hit the breaks
Ive been taking my time but never
Ive been taking my time but never","","Thomas Nalian <AR>","James Campbell","False","False",
"Audio","67d2c645ae5c1297a34c1a90","Check It","","2TD","EDM Spotlight","Dirtysnatcha Records","","4/11/2025",="198704417443","DSR152","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"3/18/2025","3/18/2025","thomas@dirtysnatcha.com","3/18/2025","3/18/2025",,,"AudioTrack","67d2c65d11700d4306839e8b",="1",="3","Noise","","2TD","USA2P2512441","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","James Campbell <Lyricist>, James Campbell <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:15""","","no","no","bring in the noise

bring in the noise

bring in the noise

bring in the noise","","Thomas Nalian <AR>","James Campbell","False","False",
"Audio","67d2c645ae5c1297a34c1a90","Check It","","2TD","EDM Spotlight","Dirtysnatcha Records","","4/11/2025",="198704417443","DSR152","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"3/18/2025","3/18/2025","thomas@dirtysnatcha.com","3/18/2025","3/18/2025",,,"AudioTrack","67d2c65d11700d4306839e8c",="1",="4","Nokia","","2TD","USA2P2512442","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","James Campbell <Lyricist>, James Campbell <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:45""","","no","no","check it lyrics.txt
pull it up 
pull it up


boo

come on
come on

now we gonna get

is that alright

now we gonna get","","Thomas Nalian <AR>","James Campbell","False","False",
"Audio","67d2c645ae5c1297a34c1a90","Check It","","2TD","EDM Spotlight","Dirtysnatcha Records","","4/11/2025",="198704417443","DSR152","$3.50 ($4.99 SRLP) - S5","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"3/18/2025","3/18/2025","thomas@dirtysnatcha.com","3/18/2025","3/18/2025",,,"AudioTrack","67d2c65d11700d4306839e8d",="1",="5","Pusher","","2TD","USA2P2512443","$0.70 ($0.99 SRLP) - T2","Dubstep","English","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","James Campbell <Lyricist>, James Campbell <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:18""","","no","no","now hear this

now hear this","","Thomas Nalian <AR>","James Campbell","False","False",
"Audio","67bec85cdb4374569fa67c93","Money Right","","Walter Wilde","EDM Spotlight","Dirtysnatcha Records","","3/14/2025",="198704384264","DSR151","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2025 DirtySnatcha Records","℗ 2025 DirtySnatcha Records","","","no",,"","English","False","",,,"2/26/2025","2/26/2025","thomas@dirtysnatcha.com","2/26/2025","2/26/2025",,,"AudioTrack","67bec8d85567a91b2af80eac",="1",="1","Money Right","","Walter Wilde","USA2P2508980","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2025 Dirtysnatcha Records","℗ 2025 DirtySnatcha Records","Cameron Bryan <Lyricist>, Cameron Bryan <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:02:04""","=""00:00:40""","no","no","Came to get my money right. switch","","Thomas Nalian <AR>","Cameron Bryan","False","False",
