Release Date,Start Date,End Date,Release Name,Campaign Name,Artist Name,Format,Release Type,Country Targeting,Currency,Tax Rate,Budget,Budget (incl. tax),Spend,Spend (incl. tax),Segment Targeting,Reach,Clicks,Amplified Listeners,Reactivated Listeners,New Active Listeners,Light Listeners (after converting),Moderate Listeners (after converting),Super Listeners (after converting),Converted Listeners,Conversion Rate,Active Streams Per Listener,Intent Rate,Playlist Add Rate,Playlist Adds,Save Rate,Saves,Listeners of Artist's Other Releases,Active Streams Per Listener for Artist's Other Releases,Saves of Artist's Other Releases,Playlist Adds of Artist's Other Releases
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","0.000%","200.00","200.00","200.00","200.00","Total","5,828","400","15","19","212","204","38","4","246","4.2%","1.76","24.39%","6.1%","25","21.14%","80","6","2.67","6","6"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","Super","NA","NA","NA","NA","NA","NA","NA","NA","0","0%","0","0%","0%","0","0%","0","0","0","0","0"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","14","5","0","19","5.92%","1.58","21.05%","10.53%","5","15.79%","6","0","0","0","0"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","Moderate","NA","NA","NA","NA","NA","3","3","0","6","12%","1.17","16.67%","0%","0","16.67%","3","0","0","0","0"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","5","4","0","9","11.25%","1.56","55.56%","11.11%","1","44.44%","4","0","0","0","0"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","8","1","0","9","2.94%","1.33","11.11%","0%","0","11.11%","1","0","0","0","0"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","174","25","4","203","3.98%","1.82","24.14%","5.91%","19","21.18%","66","6","2.67","6","6"
"10/15/24 UTC","10/15/24 UTC","10/16/24 UTC","O' Brother","O' Brother","WHOiSEE","Marquee","SINGLE","United States","USD","NA","NA","NA","NA","NA","COLLAB","NA","NA","NA","NA","NA","NA","NA","NA","19","7.79%","1.53","36.84%","15.79%","4","26.32%","7","2","2","3","4"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","0.000%","250.00","250.00","250.00","250.00","Total","4,370","503","51","66","241","145","181","32","358","8.19%","5.21","36.31%","12.01%","124","29.89%","374","12","4","1","1"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","NA","NA","NA","NA","NA","Super","NA","NA","NA","NA","NA","0","1","2","3","42.86%","14.67","66.67%","33.33%","1","33.33%","1","2","2","0","0"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","NA","NA","NA","NA","NA","Previously Active","NA","NA","NA","NA","NA","24","39","3","66","11.09%","4.67","42.42%","13.64%","19","33.33%","59","3","3.33","0","0"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","NA","NA","NA","NA","NA","Moderate","NA","NA","NA","NA","NA","1","12","5","18","19.35%","6.56","66.67%","27.78%","31","61.11%","40","3","4","1","0"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","NA","NA","NA","NA","NA","Light","NA","NA","NA","NA","NA","8","18","4","30","11.15%","6.73","56.67%","30%","36","36.67%","43","0","0","0","0"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","NA","NA","NA","NA","NA","Programmed","NA","NA","NA","NA","NA","14","19","5","38","7.17%","5.5","28.95%","7.89%","3","26.32%","20","1","14","0","0"
"11/14/24 UTC","11/14/24 UTC","11/15/24 UTC","Provision","Provision","WHOiSEE","Marquee","EP","United States","USD","NA","NA","NA","NA","NA","Potential","NA","NA","NA","NA","NA","98","92","13","203","7.05%","4.85","29.56%","7.88%","34","25.62%","211","3","2.67","0","1"
