TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
41639066,HEAD DROP,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",01/31/2020,WORKS REGISTRATION,T9313709205,Reconciled
41639066,HEAD DROP,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",01/31/2020,WORKS REGISTRATION,T9313709205,Reconciled
47653412,MORE THAN THIS FT KATIE SKY,W," ",DONAIS MATHIEU,33.34,00829048422,"SOCAN   ",11/05/2020,WORKS REGISTRATION,"           ",Pending Society Review
47653412,MORE THAN THIS FT KATIE SKY,P,O,ROTTUN EXCISION MUSIC,33.34,00717259432,"ASCAP   ",11/05/2020,WORKS REGISTRATION,"           ",Pending Society Review
47653412,MORE THAN THIS FT KATIE SKY,P,O,EXCISION ROTTUN PUBLISHING,66.66,01048040591,"BMI     ",11/05/2020,WORKS REGISTRATION,"           ",Pending Society Review
47653412,MORE THAN THIS FT KATIE SKY,W," ",SKY KATY,33.33,"           ","NA      ",11/05/2020,WORKS REGISTRATION,"           ",Pending Society Review
47653412,MORE THAN THIS FT KATIE SKY,W," ",BRAY LEIGH,33.33,01017500116,"BMI     ",11/05/2020,WORKS REGISTRATION,"           ",Pending Society Review
50869180,I NEED YOUR HIGH,P,O,WAKAAN SSKWAN MUSICAL ODDITIES,100.00,01079032660,"BMI     ",07/19/2021,WORKS REGISTRATION,T3060195106,Reconciled
50869180,I NEED YOUR HIGH,W," ",ROSE EMILY,50.00,00649339116,"BMI     ",07/19/2021,WORKS REGISTRATION,T3060195106,Reconciled
50869180,I NEED YOUR HIGH,W," ",BRAY LEIGH,50.00,01017500116,"BMI     ",07/19/2021,WORKS REGISTRATION,T3060195106,Reconciled
52913738,TAKE YOU HIGHER,P,S,TENYOR MUSIC,100.00,00263286262,"BMI     ",11/29/2021,WORKS REGISTRATION,T3080719542,Pending Society Review
52913738,TAKE YOU HIGHER,P,O,DSV AUDIO,0.00,"           ","NA      ",11/29/2021,WORKS REGISTRATION,T3080719542,Pending Society Review
52913738,TAKE YOU HIGHER,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",11/29/2021,WORKS REGISTRATION,T3080719542,Pending Society Review
66786722,K O,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",04/04/2024,WORKS REGISTRATION,T3245484140,Reconciled
