Label Name,Catalog #,UPC,Release Name,Release Version,Release Artist,Release Date,Release Genre,Release Subgenre,Track,ISRC,Song Name,Mix Version,Primary Artists,Featuring Artists,Remixers,Track Length,Song Genre,Song Subgenre,,pandora,BMI,Songtrust,Soundexchhange
DirtySnatcha Records,DSR133,198342485866,Whoa,,KirbyBright,5/3/2024,Dance,Dubstep,1,GBWUL2431903,Whoa,,"KirbyBright,Devious",,,2:27,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR0104,197999143198,Keep Moving,Audigy Remix,DirtySnatcha,10/6/2023,Dance,Dubstep,1,QZWV32320452,Keep Moving,Audigy Remix,DirtySnatcha,,Audigy,3:31,Dance,Dubstep,,4/3/2024,,,
DirtySnatcha Records,DSR131,198342356135,WTF,,BBX,4/12/2024,Electronic,Dubstep,1,GBRKQ2471312,WTF,,"BBX,Sloth",,,3:12,Electronic,Dubstep,,,,,
DirtySnatcha Records,DSR130,198342361740,No Traces,,Trenches,4/5/2024,Electronic,Dubstep,1,GBRKQ2472806,No Traces,,"Trenches,Virg™",,,3:12,Electronic,Dubstep,,,,,
DirtySnatcha Records,DSR129,198342095089,Clean Slate,,Blue,3/15/2024,Dance,Dubstep,1,USLZJ2430079,Clean Slate,,Blue,JHornz,,2:25,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR125,198342036334,Operator Error,,Big City,3/8/2024,Dance,Dubstep,1,USLZJ2403319,No Problems!,,Big City,Tonzology,,3:24,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR125,198342036334,Operator Error,,Big City,3/8/2024,Dance,Dubstep,2,USLZJ2403314,Weed Spot,,Big City,,,2:08,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR125,198342036334,Operator Error,,Big City,3/8/2024,Dance,Dubstep,3,USLZJ2403323,Rat Patrol,,Big City,Tonzology,,3:08,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR125,198342036334,Operator Error,,Big City,3/8/2024,Dance,Dubstep,4,USLZJ2403328,Operator Error,,Big City,,,3:32,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR128,198342094976,Corneal Abrasion,,Simplifi,3/1/2024,Dance,Dubstep,1,USLZJ2430043,Corneal Abrasion,,"Simplifi,Redder",,,3:02,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR124,198342036310,Rat Patrol,,Big City,2/28/2024,Dance,Dubstep,1,USLZJ2403323,Rat Patrol,,Big City,Tonzology,,3:08,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR124,198342036310,Rat Patrol,,Big City,2/28/2024,Dance,Dubstep,2,USLZJ2403319,No Problems!,,Big City,Tonzology,,3:24,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR124,198342036310,Rat Patrol,,Big City,2/28/2024,Dance,Dubstep,3,USLZJ2403314,Weed Spot,,Big City,,,2:08,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR120,197999919410,The Tundra,,Barooka,2/23/2024,Dance,Dubstep,1,QZ5FN2461919,iDISTORT,,Barooka,,,3:11,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR120,197999919410,The Tundra,,Barooka,2/23/2024,Dance,Dubstep,2,QZ5FN2461916,Pressure,,Barooka,,,3:11,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR120,197999919410,The Tundra,,Barooka,2/23/2024,Dance,Dubstep,3,QZ5FN2445584,Screechboi,,Barooka,,,3:11,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR120,197999919410,The Tundra,,Barooka,2/23/2024,Dance,Dubstep,4,QZ5FN2445564,Icepick,,Barooka,,,3:18,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR123,198342036280,No Problems,,Big City,2/19/2024,Dance,Dubstep,1,USLZJ2403319,No Problems!,,Big City,Tonzology,,3:24,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR123,198342036280,No Problems,,Big City,2/19/2024,Dance,Dubstep,2,USLZJ2403314,Weed Spot,,Big City,,,2:08,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR127,198342042182,Tartarus,,CRiiOZ,2/16/2024,Dance,Dubstep,1,USLZJ2405562,In The Walls,,CRiiOZ,,,2:23,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR127,198342042182,Tartarus,,CRiiOZ,2/16/2024,Dance,Dubstep,2,USLZJ2405588,Watch Out,,CRiiOZ,,,2:59,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR127,198342042182,Tartarus,,CRiiOZ,2/16/2024,Dance,Dubstep,3,USLZJ2405590,Psycho,,"CRiiOZ,DSTRTN",,,2:01,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR127,198342042182,Tartarus,,CRiiOZ,2/16/2024,Dance,Dubstep,4,USLZJ2405591,Trust,,CRiiOZ,,,2:54,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR127,198342042182,Tartarus,,CRiiOZ,2/16/2024,Dance,Dubstep,5,USLZJ2405592,Let Go,,CRiiOZ,,,2:37,Dance,Dubstep,,,,,
DirtySnatcha Records,DSR119,197999919403,Pressure,,Barooka,2/14/2024,Dance,Dubstep,1,QZ5FN2461916,Pressure,,Barooka,,,3:11,Dance,Dubstep,,,,,
