date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-01-01,4131,88489,44004,756,5371,368,132,20730
2024-01-02,4311,86248,43467,745,5722,432,127,20734
2024-01-03,5196,84294,43090,738,6875,411,170,20742
2024-01-04,5436,83095,42903,731,7175,476,208,20736
2024-01-05,5119,82167,42913,733,7011,506,212,20746
2024-01-06,4758,81876,42991,754,6895,472,235,20756
2024-01-07,4477,81685,43060,770,6498,309,190,20764
2024-01-08,4855,81440,43144,761,6333,417,161,20769
2024-01-09,5061,81032,43121,760,6647,382,183,20778
2024-01-10,6009,81319,43206,763,8301,507,340,20790
2024-01-11,5886,81500,43258,782,7869,626,296,20813
2024-01-12,14918,88903,45651,795,20895,2551,2794,20843
2024-01-13,11412,93234,47369,829,15735,1081,1304,20869
2024-01-14,8617,95935,48550,855,11545,739,764,20879
2024-01-15,9226,98673,49789,870,12246,774,872,20893
2024-01-16,8903,100682,50594,866,11801,817,771,20899
2024-01-17,9934,102969,51317,883,13207,803,745,20911
2024-01-18,9682,104730,52170,901,13613,829,778,20925
2024-01-19,9978,107700,52510,911,12987,761,682,20944
2024-01-20,7872,109177,52852,930,10158,626,407,20953
2024-01-21,6513,110190,52947,947,8427,466,277,20961
2024-01-22,8593,113435,53316,967,10912,563,343,20970
2024-01-23,8731,115765,53634,982,11192,579,350,20977
2024-01-24,8730,117894,53900,996,11364,608,401,20986
2024-01-25,8443,119655,54122,1032,11171,486,339,20996
2024-01-26,8694,121773,54311,1052,11283,591,394,21004
2024-01-27,7600,123575,54466,1065,9601,399,246,21014
2024-01-28,6089,124597,54660,1069,7541,338,193,21022
2024-01-29,6873,126255,54753,1092,8711,458,234,21033
2024-01-30,7443,127942,55107,1104,9597,501,270,21038
2024-01-31,7752,129161,55442,1121,9903,490,272,21050
2024-02-01,7690,130324,55811,1139,9895,520,303,21052
2024-02-02,7450,131555,56310,1155,9902,623,450,21065
2024-02-03,7512,133403,56671,1166,9504,476,231,21070
2024-02-04,6162,134437,56847,1153,7806,385,237,21073
2024-02-05,6557,135647,57066,1164,8504,480,304,21076
2024-02-06,6798,136599,57393,1187,8788,572,369,21088
2024-02-07,6953,137221,57518,1193,9193,459,298,21095
2024-02-08,7288,137991,57752,1188,9216,492,263,21100
2024-02-09,7218,134112,56328,1166,9135,521,249,21100
2024-02-10,6238,131331,55314,1130,7787,343,211,21109
2024-02-11,5429,129747,54591,1122,6696,348,143,21107
2024-02-12,5695,128036,53573,1106,7105,315,158,21110
2024-02-13,5629,126122,52909,1090,7085,393,207,21116
2024-02-14,6027,124177,52197,1085,7544,364,196,21124
2024-02-15,6263,122478,51188,1051,8151,380,165,21128
2024-02-16,5966,120146,50874,1040,7413,356,206,21133
2024-02-17,5246,118598,50529,1026,6729,329,168,21137
2024-02-18,5468,118383,50444,1015,6657,255,103,21140
2024-02-19,5459,116195,50348,1021,6905,318,131,21143
2024-02-20,6181,114891,50157,1007,7647,334,168,21155
2024-02-21,7037,114349,49993,977,8650,296,194,21165
2024-02-22,7739,114573,49830,952,9716,393,185,21181
2024-02-23,6995,113727,49753,938,9381,405,228,21190
2024-02-24,6460,113004,49604,926,8304,463,193,21197
2024-02-25,5426,112770,49503,944,6750,298,122,21202
2024-02-26,6129,112553,49437,943,7610,389,201,21208
2024-02-27,7220,112853,49251,925,8771,389,177,21218
2024-02-28,7042,112787,48978,919,8641,372,171,21224
2024-02-29,7104,112669,48624,914,10535,333,187,21231
2024-03-01,6859,112591,48205,875,9338,307,173,21233
2024-03-02,6246,111736,47808,860,7842,308,142,21235
2024-03-03,5218,111059,47536,851,6798,284,128,21238
2024-03-04,6543,111321,47319,840,8052,348,192,21246
2024-03-05,6849,111788,47086,831,8549,316,179,21262
2024-03-06,7277,112417,46956,813,9073,402,263,21271
2024-03-07,7639,112967,47416,805,9780,1074,2202,21284
2024-03-08,8075,113749,47667,787,10259,725,1101,21296
2024-03-09,6214,113661,47685,781,7858,477,646,21302
2024-03-10,5330,113758,47749,752,6572,364,636,21307
2024-03-11,6417,114102,48135,767,7912,471,889,21313
