song,listeners,streams,saves,release_date
"I Need Your High",0,3889872,0,2019-11-22
"Crashing",0,1307192,0,2020-03-27
"Get Fucked",0,1133988,0,2018-08-21
"Supersonic",0,1022287,0,2022-03-25
"Genie In a Bottle",0,413124,0,2024-04-19
"More Than This",0,407926,0,2020-09-28
"Bring It Back",0,287740,0,2020-06-12
"Escape",0,249069,0,2023-07-04
"Old School",0,243567,0,2022-07-22
"Need U",0,205841,0,2020-05-29
"Sum Dirty",0,190912,0,2023-11-22
"POTIONS - DirtySnatcha Remix",0,185210,0,2024-01-12
"Good Vibez",0,185208,0,2024-09-13
"Style",0,183524,0,2022-03-25
"Dance With Me",0,179687,0,2020-09-04
"Lover",0,169712,0,2020-07-17
"She Bangs Like a Fairy on Acid",0,132129,0,2024-10-18
"That Is Torture - Original Mix",0,131255,0,2013-12-09
"Dimension",0,129616,0,2023-01-13
"Space Adventure",0,112665,0,2023-03-24
"Waiting Room",0,110197,0,2023-06-02
"CUM WID DA SPOON",0,104722,0,2017-05-03
"Hit You",0,98613,0,2019-07-22
"Big Boss - DirtySnatcha Remix",0,95543,0,2024-07-11
"Spaceship",0,91664,0,2021-03-03
"Supersonic - VIP",0,84913,0,2022-12-21
"Move Back",0,84204,0,2022-01-30
"Wasted",0,84023,0,2019-04-04
"Hot Girl Riddim",0,80557,0,2019-10-10
"2KFO - DirtySnatcha Remix",0,78994,0,2019-06-10
"Found Myself",0,75968,0,2021-02-05
"Crazy",0,75332,0,2023-08-08
"Hold On",0,69562,0,2022-10-12
"Take You Higher",0,66876,0,2020-08-24
"UFO",0,66312,0,2023-09-29
"BASS SLAP",0,65017,0,2017-03-13
"Gangsta's Paradise",0,63235,0,2025-07-18
"Rush",0,62906,0,2019-01-04
"Baby",0,61702,0,2022-03-25
"Keep Moving (Audigy Remix)",0,56445,0,2023-10-06
"Flames - DirtySnatcha Remix",0,56153,0,2022-06-07
"Energy",0,55987,0,2024-01-10
"Lover - Urbanstep Remix",0,54262,0,2022-05-27
"I Want U",0,53432,0,2023-09-12
"Cosmic Sounds",0,52099,0,2021-04-16
"Digital Love - DirtySnatcha Remix",0,50687,0,2022-09-08
"All I Need",0,49957,0,2022-03-25
"Outta Space",0,48650,0,2025-08-15
"Alone",0,48423,0,2025-01-31
"Rollercoaster",0,44976,0,2018-10-15
"Tonight",0,44156,0,2021-06-28
"Free",0,43867,0,2019-04-26
"DAMN GURL",0,43512,0,2017-08-07
"Get Blown",0,41231,0,2022-10-21
"It Ain't Over",0,40156,0,2020-03-13
"Forever",0,38993,0,2023-09-12
"Home - LEGIONSOUND Remix",0,35632,0,2025-02-28
"Home",0,35024,0,2024-06-14
"That Is Torture - Radio Edit",0,34306,0,2019-02-20
"Heavy Duty",0,34164,0,2019-02-15
"Alien Shit",0,33722,0,2021-04-16
"K.O.",0,32656,0,2023-04-07
"Keep Moving",0,31168,0,2022-01-07
"Head Drop",0,30812,0,2019-11-15
"Spacecraft",0,30676,0,2023-04-28
"Need U (Dobadlyy Remix)",0,28868,0,2021-01-08
"Cruisin",0,25518,0,2024-08-23
"Everybody",0,25381,0,2025-09-26
"Shatter",0,24078,0,2024-08-02
"Can You Feel",0,23371,0,2021-04-16
"Wait For Me",0,22867,0,2024-11-01
"Supersonic (DARK MATTER Remix)",0,22634,0,2025-08-29
"Doodle Doo",0,22333,0,2020-05-06
"When I'm Gone",0,22295,0,2025-03-28
"This Is Dubstep",0,22293,0,2019-02-01
"Falling",0,22120,0,2019-09-27
"Take A Trip (DirtySnatcha Remix)",0,21104,0,2023-01-20
"Vibrate",0,18441,0,2024-08-30
"Keep Moving (Aelius, Voyager, Wilco Beats Remix)",0,17408,0,2022-12-02
