date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2024-01-01,662,17735,1955,31,801,45,14,3928
2024-01-02,735,17729,1954,29,908,33,32,3930
2024-01-03,796,17754,1984,30,996,36,34,3931
2024-01-04,422,16628,1996,30,569,40,34,3932
2024-01-05,446,16274,2001,28,558,56,31,3932
2024-01-06,323,15988,2013,27,452,35,20,3932
2024-01-07,351,15778,2045,29,459,44,24,3935
2024-01-08,821,15762,2062,33,988,63,42,3934
2024-01-09,801,15851,2123,33,1022,53,45,3936
2024-01-10,650,15854,2129,36,790,29,27,3936
2024-01-11,660,15564,2121,35,855,27,17,3938
2024-01-12,1060,15822,2148,38,1298,67,59,3938
2024-01-13,869,15859,2168,39,1019,44,34,3942
2024-01-14,736,15726,2184,36,918,33,29,3941
2024-01-15,880,15679,2190,38,1125,45,38,3941
2024-01-16,884,15681,2221,38,1064,59,23,3940
2024-01-17,853,15580,2224,39,1015,33,27,3940
2024-01-18,1004,15624,2236,44,1242,37,33,3943
2024-01-19,595,15327,2246,48,729,43,17,3943
2024-01-20,704,15161,2268,50,844,46,21,3944
2024-01-21,580,15029,2273,52,669,23,14,3946
2024-01-22,715,15436,2285,54,912,32,27,3947
2024-01-23,859,15409,2293,59,1035,20,9,3947
2024-01-24,791,15343,2293,61,958,36,22,3948
2024-01-25,814,15340,2309,59,1007,37,20,3948
2024-01-26,459,15000,2315,62,597,32,10,3948
2024-01-27,717,14981,2317,61,821,31,11,3949
2024-01-28,704,14948,2331,59,824,29,8,3949
2024-01-29,763,14985,2332,63,952,22,8,3950
2024-01-30,846,15060,2344,66,1022,20,17,3950
2024-01-31,689,14931,2330,68,817,27,9,3950
2024-02-01,746,15216,2323,66,875,28,14,3951
2024-02-02,394,15149,2310,67,486,21,7,3950
2024-02-03,315,15130,2302,69,389,21,6,3950
2024-02-04,324,15109,2268,71,378,21,15,3950
2024-02-05,565,14957,2262,73,720,54,33,3950
2024-02-06,485,14676,2218,77,623,25,15,3952
2024-02-07,504,14497,2202,76,610,23,17,3952
2024-02-08,462,14258,2199,79,564,27,21,3954
2024-02-09,375,13656,2187,75,483,51,24,3954
2024-02-10,338,13190,2177,75,426,27,13,3954
2024-02-11,275,12794,2167,73,327,22,15,3955
2024-02-12,464,12512,2164,71,605,39,28,3955
2024-02-13,546,12215,2162,67,1288,38,30,3955
2024-02-14,609,11940,2169,67,2518,15,20,3955
2024-02-15,788,11630,2166,67,2323,24,22,3955
2024-02-16,931,11958,2151,63,1512,28,18,3956
2024-02-17,624,11888,2133,63,763,16,6,3956
2024-02-18,606,11878,2131,63,783,27,13,3956
2024-02-19,433,11621,2122,60,597,13,12,3957
2024-02-20,594,11396,2108,64,736,23,4,3957
2024-02-21,553,11182,2085,63,638,12,9,3956
2024-02-22,644,11060,2092,55,793,28,15,3958
2024-02-23,354,10981,2088,52,576,23,13,3959
2024-02-24,286,10591,2081,54,489,16,10,3959
2024-02-25,272,10184,2064,56,364,19,8,3959
2024-02-26,330,9803,2062,59,548,28,7,3959
2024-02-27,537,9528,2065,57,1149,14,11,3960
2024-02-28,445,9316,2053,55,742,17,9,3960
2024-02-29,456,9048,2043,56,582,20,13,3959
2024-03-01,437,9122,2054,56,569,21,14,3960
2024-03-02,474,9270,2061,55,551,18,13,3960
2024-03-03,421,9368,2057,57,484,20,16,3960
2024-03-04,410,9311,2067,53,513,31,25,3960
2024-03-05,382,9274,2059,48,500,16,12,3960
2024-03-06,624,9447,2293,48,724,55,148,3966
2024-03-07,5140,14071,6888,46,6143,915,2481,3976
2024-03-08,3237,16428,9053,51,4161,550,1140,3991
2024-03-09,2387,17979,10516,59,3019,260,660,3995
2024-03-10,2459,19679,12140,65,2987,238,669,4004
2024-03-11,3714,22321,14604,81,4543,345,923,4012
2024-03-12,2906,24096,16162,90,3621,209,565,4017
2024-03-13,2368,25318,17287,105,3002,203,432,4021
2024-03-14,1735,25655,17835,112,2273,137,307,4023
2024-03-15,1554,25708,18350,124,2063,127,268,4027
2024-03-16,1270,25839,18723,133,1604,103,240,4030
2024-03-17,1003,25830,18997,136,1219,73,206,4031
2024-03-18,1197,26098,19284,149,1490,79,151,4033
2024-03-19,1252,26272,19612,158,1559,76,198,4035
2024-03-20,1277,26504,19935,166,1615,72,162,4038
2024-03-21,1310,26674,20279,177,1579,85,210,4041
2024-03-22,1100,26989,20554,178,1338,73,91,4044
2024-03-23,883,27236,20771,184,1080,49,76,4044
2024-03-24,729,27381,20905,188,877,39,62,4044
2024-03-25,881,27549,21079,198,1066,55,53,4040
2024-03-26,942,27557,21271,204,1100,54,51,4040
2024-03-27,1007,27734,21453,209,1196,51,59,4042
2024-03-28,1004,27875,21617,212,1169,62,83,4042
2024-03-29,841,27968,21757,219,984,47,64,4042
2024-03-30,728,27926,21872,225,864,44,32,4042
2024-03-31,526,27855,21957,229,633,19,36,4043
2024-04-01,721,27933,22091,234,879,39,51,4044
2024-04-02,749,28037,22247,240,916,40,38,4044
2024-04-03,738,27944,22224,248,855,46,48,4046
2024-04-04,762,24462,18759,233,888,39,38,4046
2024-04-05,712,22657,17102,223,828,41,54,4047
2024-04-06,681,21446,15928,215,827,28,36,4047
2024-04-07,556,20078,14622,207,665,26,35,4047
2024-04-08,710,17921,12559,193,855,29,54,4047
2024-04-09,695,16423,11200,189,828,50,39,4051
2024-04-10,738,15346,10269,175,846,43,33,4055
2024-04-11,735,14765,9815,149,895,33,25,4062
2024-04-12,703,14248,9433,136,882,36,47,4063
2024-04-13,597,13845,9115,135,724,34,23,4067
2024-04-14,515,13562,8908,131,604,44,17,4068
2024-04-15,570,13261,8673,118,698,37,25,4070
2024-04-16,623,12925,8429,114,741,39,47,4071
2024-04-17,567,12511,8148,108,668,41,27,4073
2024-04-18,647,12096,7911,100,771,31,27,4074
2024-04-19,587,11790,7682,95,689,31,32,4077
2024-04-20,514,11582,7525,89,612,23,25,4078
2024-04-21,420,11420,7415,87,465,27,15,4078
2024-04-22,547,11300,7304,86,619,26,31,4078
