song,listeners,streams,saves,release_date
"Magic - Original Mix",7788,12116,447,2025-11-15
"Prime Time",1353,2113,161,2023-08-01
"Watch Your Back",1190,1591,33,2025-01-31
"Let Go Of Control (feat. Akacia)",462,624,18,2024-12-03
"Where You At - WHOiSEE Remix",389,524,14,2024-08-15
"Vibe Check",307,449,15,2024-09-10
"Biblical",153,233,9,2024-01-03
"Hip Swing",144,224,12,2025-06-27
"Work",75,141,14,2025-08-08
"This Is It",105,128,14,2023-03-15
"Bumpin",65,104,4,2025-08-08
"Over You",52,81,3,2023-08-29
"O' Brother",52,78,1,2024-10-15
"Infinite Style",38,75,7,2025-01-31
"Feel The Bass",29,68,4,2024-11-14
"Lava Water",44,68,6,2024-11-14
"Dear Mama",50,68,0,2024-11-14
"Demon Hour",43,58,0,2023-02-10
"Alias",22,38,3,2025-01-31
"Colossal",31,38,1,2023-01-06
"Chosen",30,38,1,2023-04-07
"Flute Bass",23,36,2,2025-01-31
"The Grind",23,33,3,2023-09-26
"Solar Thump",25,33,0,2023-03-10
"Not My Fault",15,24,1,2023-11-10
"Swagged Out",21,23,0,2023-05-19
"Make U Do",14,19,3,2023-09-26
"CRITICAL",11,18,2,2023-06-23
