"Product Type","Product Id","Product Title","Product Version","Product Display Artist","Parent Label","Label","Original Release Date","Release Date","UPC","Catalog #","Product Price Tier","Product Genre","Submission Status","Product C Line","Product P Line","Pre-Order Date","Exclusives","ExplicitLyrics","Product Play Link","Liner Notes","Primary Metadata Language","Compilation","PDF Booklet","Timed Release Date","Timed Release Music Services","Last Process Date","Import Date","Created By","Last Modified","Submitted At","Submitted By","Vevo Channel","TrackType","Track Id","Track Volume","Track Number","Track Name","Track Version","Track Display Artist","Isrc","Track Price Tier","Track Genre","Audio Language","Track C Line","Track P Line","Writers/Composers","Publishers/Collection Societies","Withhold Mechanicals","Pre-Order Type","Instant Gratification Date","Duration","Sample Start Time","Explicit Lyrics","Album Only","Lyrics","Performing Contributors","Non-Performing Contributors","Producers","Full Continuous Mix","Continuously Mixed Individual Song","Track Play Link"
"Audio","67166ed4126997c258b6d865","Riddim Gang","","Megahurtz, AlienPark","EDM Spotlight","Dirtysnatcha Records","7/24/2020","7/24/2020",="198342478288","DSR20","$0.91 ($1.29 SRLP) - T3","Dubstep","QCUnderReview","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"","10/21/2024","josh.erickson@ingrooves.com","11/10/2024","11/10/2024","thomas@dirtysnatcha.com",,"AudioTrack","67166ed4126997c258b6d864",="1",="1","Riddim Gang","","Megahurtz, AlienPark","QZ5FN2074245","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Shahram Fouladger <Writer>, Shahram Fouladger <Composer>, Nicholas Engelhardt <Writer>, Nicholas Engelhardt <Composer>, Martin Perez <Writer>, Martin Perez <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:03:44""","","no","no","mugging off these pricks got the groupies sick. Mugging off these pricks that they're groupies, making the incesion getting nothing but the douzie. crashing through the war black terminator movies broke them to destroy while ill be sweating doobies.  Mugging off these pricks that they're groupies, making the incesion getting nothing but the douzie. crashing through the war black terminator movies broke them to destroy while ill be sweating doobies. 
Riddim gang, riddim gang, riddim gang, riddim gang, riddim riddim riddim gang got goonies. Drop it
aghhhhhhhhh. Finish him
mugging off these pricks got the groupies sick. Mugging off these pricks that they're groupies, making the incesion getting nothing but the douzie. crashing through the war black terminator movies broke them to destroy while ill be sweating doobies.  Mugging off these pricks that they're groupies, making the incesion getting nothing but the douzie. crashing through the war black terminator movies broke them to destroy while ill be sweating doobies. 
Riddim gang, riddim gang, riddim gang, riddim gang, riddim riddim riddim gang got goonies. Drop it Fight, Finish him, fight. 

blast on my face  you never, blast on my face  you never, blast on my face  you never  see the other side. AGHHHH, drop, drop, drop. Pop it. finish him. riddim gang pump, riddim gang pump, riddim gang got goonies","","","Shahram Fouladger,Nicholas Engelhardt,Martin Perez","False","False",
"Audio","671673767056a2b18cfd7714","Wompem","","ZURGLIN","EDM Spotlight","Dirtysnatcha Records","3/3/2023","3/3/2023",="198342492161","DSR88","$0.91 ($1.29 SRLP) - T3","Dubstep","QCUnderReview","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","","","no",,"","English","False","",,,"","10/21/2024","josh.erickson@ingrooves.com","11/10/2024","11/10/2024","thomas@dirtysnatcha.com",,"AudioTrack","671673767056a2b18cfd7713",="1",="1","Wompem","","ZURGLIN","USLZJ2318255","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2023 DirtySnatcha Records","℗ 2023 DirtySnatcha Records","Michael Delvenne <Writer>, Michael Delvenne <Composer>","LAB10 PUBLISHING <BMI>","yes","","","=""00:04:06""","","no","no","mi  a di budus wompem again ba du cop bi diddi ba du cop wompem now begin","","","Michael Delvenne","False","False",
"Audio","66c50d597f1e6ef6d9805be6","Groupies","","Autokorekt","EDM Spotlight","Dirtysnatcha Records","9/27/2024","9/27/2024",="198704117640","DSR137","$0.70 ($0.99 SRLP) - T2","Trap","Released","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","","","no","https://ingrv.es/groupies-sjj-w","","English","False","",,,"9/16/2024","8/21/2024","thomas@dirtysnatcha.com","9/16/2024","8/21/2024",,,"AudioTrack","66c53f59455a4334c0346bee",="1",="1","Groupies","","Autokorekt","USA2P2456452","$0.70 ($0.99 SRLP) - T2","Trap","English","© 2024 DirtySnatcha Records","℗ 2024 DirtySnatcha Records","Anthony Autolino <Writer>, Anthony Autolino <Composer>","DIRTYSNATCHA RECORDS PUBLISHING <ASCAP>","yes","","","=""00:02:38""","","no","no","I'm getting love from the streets from the groupies my fame is spreading wild like a wild fire movie I'm 
Got my homies with me You see we rolling deep we the kings of the block and the lady's wanna creep.

Fame is spreading love from the streets from the groupies movie like.","","","Anthony Autolino","False","False","https://ingrv.es/groupies-697-f"
"Audio","67166ed17056a2b18cfd40e3","Spacecraft","","Whiskers","EDM Spotlight","Dirtysnatcha Records","10/23/2020","10/23/2020",="198342478967","DSR26","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"11/4/2024","11/4/2024","josh.erickson@ingrooves.com","11/4/2024","11/4/2024",,,"AudioTrack","67166ed17056a2b18cfd40e2",="1",="1","Spacecraft","","Whiskers","USLZJ2046489","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Nathon Berndt <Writer>, Nathon Berndt <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:01:56""","","no","no","Come to space. Here man from the planet earth came in peace for all mankind. Spacecraft. Spacecraft","","","Nathon Berndt","False","False",
"Audio","67166ed7b57030fe904f1ee0","Loose It","","Eazley, Autokorekt","EDM Spotlight","Dirtysnatcha Records","8/17/2020","8/17/2020",="198342478653","DSR23","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"10/28/2024","10/28/2024","josh.erickson@ingrooves.com","10/28/2024","10/28/2024",,,"AudioTrack","67166ed7b57030fe904f1edf",="1",="1","Loose It","","Eazley, Autokorekt","QZ5FN2097747","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Alfred Rice <Writer>, Alfred Rice <Composer>, Anthony Autolino <Writer>, Anthony Autolino <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:02:46""","","yes","no","I'm about to lose my shit

Hope. The fuck.

I don't... oh my God, I get...

I'm about to lose my shit, I'm...

Hold up Fuck. Oh my God, I...

I'm about to lose my shit
Hold up Fuck

I'm about to lose my shit. hold up fuck","","","Alfred Rice,Anthony Autolino","False","False",
"Audio","67166edb126997c258b6d876","Death Match","","Joogornot","EDM Spotlight","Dirtysnatcha Records","5/6/2021","5/6/2021",="198342491553","DSR38","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2021 DirtySnatcha Records","℗ 2021 DirtySnatcha Records","","","no",,"","English","False","",,,"10/30/2024","10/30/2024","josh.erickson@ingrooves.com","10/30/2024","10/30/2024",,,"AudioTrack","67166edb126997c258b6d875",="1",="1","Death Match","","Joogornot","USLZJ2162863","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2021 DirtySnatcha Records","℗ 2021 DirtySnatcha Records","William Wilson <Writer>, William Wilson <Composer>","DirtySnatcha Records Publishing <BMI>","yes","","","=""00:03:13""","","no","no","Are you ready.Play with your time
You're no match for me. finish him
you're no match for me. finish him
here we go.","","","William Wilson","False","False",
"Audio","67166edd126997c258b6d87e","Heartbreaker","","Kryture","EDM Spotlight","Dirtysnatcha Records","7/20/2020","7/20/2020",="198342478202","DSR19","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"11/4/2024","11/4/2024","josh.erickson@ingrooves.com","11/4/2024","11/2/2024",,,"AudioTrack","67166edd126997c258b6d87d",="1",="1","Heartbreaker","","Kryture","QZ5FN2071126","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Galium Boyles <Writer>, Galium Boyles <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:30""","","no","no","I've been in love several times before. 
I can feel your Heart . I can feel your heart break heart break. heart break. hert break. heart break. heart break. I can feel your heart. ive been in love several times before. I can feel your heart. I can feel your heartbreak. heart break. heart break.","","","Galium Boyles","False","False",
"Audio","67166ee0b57030fe904f20c0","Outta Here","","Recluze feat. Rico Act","EDM Spotlight","Dirtysnatcha Records","7/6/2020","7/6/2020",="198342478196","DSR18","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"11/5/2024","11/5/2024","josh.erickson@ingrooves.com","11/5/2024","11/5/2024",,,"AudioTrack","67166ee0b57030fe904f20bf",="1",="1","Outta Here","","Recluze feat. Rico Act","QZ5FN2040117","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Cameron Benzel <Writer>, Cameron Benzel <Composer>, Terrel Koivu <Writer>, Terrel Koivu <Composer>","LAB10 Publishing <BMI>","yes","","","=""00:03:19""","","yes","no","","","","Cameron Benzel","False","False",
"Audio","67166edf7056a2b18cfd4200","Back In The Jeanstalk","","Fixxer","EDM Spotlight","Dirtysnatcha Records","5/15/2020","5/15/2020",="198342476642","DSR11","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","","","no",,"","English","False","",,,"11/5/2024","11/5/2024","josh.erickson@ingrooves.com","11/5/2024","11/5/2024",,,"AudioTrack","67166edf7056a2b18cfd41ff",="1",="1","Back In The Jeanstalk","","Fixxer","GBWUL2080849","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2020 DirtySnatcha Records","℗ 2020 DirtySnatcha Records","Sam Haghbedeh <Writer>, Sam Haghbedeh <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:03:08""","","no","no","fe fi fo funk","","","Sam Haghbedeh","False","False",
"Audio","67166edc126997c258b6d87a","Tiger Kung Fu","","Neon Tiger","EDM Spotlight","Dirtysnatcha Records","2/26/2021","2/26/2021",="198342491539","DSR37","$0.91 ($1.29 SRLP) - T3","Dubstep","Released","© 2021 DirtySnatcha Records","℗ 2021 DirtySnatcha Records","","","no",,"","English","False","",,,"11/4/2024","11/4/2024","josh.erickson@ingrooves.com","11/4/2024","11/2/2024",,,"AudioTrack","67166edc126997c258b6d879",="1",="1","Tiger Kung Fu","","Neon Tiger","QZ5FN2170480","$0.91 ($1.29 SRLP) - T3","Dubstep","English","© 2021 DirtySnatcha Records","℗ 2021 DirtySnatcha Records","Royal Thomas <Writer>, Royal Thomas <Composer>","DirtySnatcha Records Publishing <ASCAP>","yes","","","=""00:02:08""","","no","no","My tiger kung fu is better than yours. My tiger kung fu. Is better than yours. My tiger kung fu is better than yours. I dont think your good enough to avenge your master. I dont think your good enough to avenge. Admit it. Am i not a 10 to you. Hi ya. My tiger kung fu. Arghh. My tiger kung fu is better than yours","","","","False","False",
