"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
DirtySnatcha,DS0020,198622803908,"She Bangs Like a Fairy on Acid",,Luci,2024-10-18,Dance,Dubstep,1,QZZ8A2432901,"She Bangs Like a Fairy on Acid",,"Luci,DirtySnatcha",,,03:56,Dance,Dubstep
"DirtySnatcha Records",DSR136,198622420181,Riddimption,,"Nothing x Hurts",2024-08-14,Electronic,Dubstep,1,QZWV32419969,Riddimption,,"Nothing x Hurts",,,02:17,Electronic,Dubstep
DirtySnatcha,DS0018,198342839157,Home,,DirtySnatcha,2024-06-14,Dance,Dubstep,1,QZTV32416252,Home,,DirtySnatcha,MES,,02:47,Dance,Dubstep
"DirtySnatcha Records",DSR135,198342816899,"Wasting Time With You",,Ennaut,2024-06-07,Electronic,Dubstep,1,QZTV32404283,"Wasting Time With You",,Ennaut,,,03:31,Electronic,Dubstep
"DirtySnatcha Records",DSR134,198342768341,"Apple Sowce",,Autokorekt,2024-05-24,Dance,Dubstep,1,QZTRX2474922,"Apple Sowce",,Autokorekt,,,03:12,Dance,Dubstep
"DirtySnatcha Records",DSR133,198342485866,Whoa,,KirbyBright,2024-05-03,Dance,Dubstep,1,GBWUL2431903,Whoa,,"KirbyBright,Devious",,,02:27,Dance,Dubstep
"DirtySnatcha Records",DSR132,198342437506,"Genie In a Bottle",,DirtySnatcha,2024-04-19,Dance,Dubstep,1,GBWUL2407705,"Genie In a Bottle",,"DirtySnatcha,Luci",,,03:18,Dance,Dubstep
"DirtySnatcha Records",DSR131,198342356135,WTF,,BBX,2024-04-12,Electronic,Dubstep,1,GBRKQ2471312,WTF,,"BBX,Sloth",,,03:12,Electronic,Dubstep
"DirtySnatcha Records",DSR130,198342361740,"No Traces",,Trenches,2024-04-05,Electronic,Dubstep,1,GBRKQ2472806,"No Traces",,"Trenches,Virg™",,,03:12,Electronic,Dubstep
"DirtySnatcha Records",DSR130B,198342555309,"No Traces",,"Trenches (US)",2024-04-05,Electronic,Dubstep,1,GBRKQ2472806,"No Traces",,"Trenches (US),Virg™",,,03:12,Electronic,Dubstep
"DirtySnatcha Records",DSR129,198342095089,"Clean Slate",,Blue,2024-03-15,Dance,Dubstep,1,USLZJ2430079,"Clean Slate",,Blue,JHornz,,02:25,Dance,Dubstep
"DirtySnatcha Records",DSR125,198342036334,"Operator Error",,"Big City",2024-03-08,Dance,Dubstep,1,USLZJ2403319,"No Problems!",,"Big City",Tonzology,,03:24,Dance,Dubstep
"DirtySnatcha Records",DSR125,198342036334,"Operator Error",,"Big City",2024-03-08,Dance,Dubstep,2,USLZJ2403314,"Weed Spot",,"Big City",,,02:08,Dance,Dubstep
"DirtySnatcha Records",DSR125,198342036334,"Operator Error",,"Big City",2024-03-08,Dance,Dubstep,3,USLZJ2403323,"Rat Patrol",,"Big City",Tonzology,,03:08,Dance,Dubstep
"DirtySnatcha Records",DSR125,198342036334,"Operator Error",,"Big City",2024-03-08,Dance,Dubstep,4,USLZJ2403328,"Operator Error",,"Big City",,,03:32,Dance,Dubstep
"DirtySnatcha Records",DSR128,198342094976,"Corneal Abrasion",,Simplifi,2024-03-01,Dance,Dubstep,1,USLZJ2430043,"Corneal Abrasion",,"Simplifi,Redder",,,03:02,Dance,Dubstep
"DirtySnatcha Records",DSR124,198342036310,"Rat Patrol",,"Big City",2024-02-28,Dance,Dubstep,1,USLZJ2403323,"Rat Patrol",,"Big City",Tonzology,,03:08,Dance,Dubstep
"DirtySnatcha Records",DSR124,198342036310,"Rat Patrol",,"Big City",2024-02-28,Dance,Dubstep,2,USLZJ2403319,"No Problems!",,"Big City",Tonzology,,03:24,Dance,Dubstep
"DirtySnatcha Records",DSR124,198342036310,"Rat Patrol",,"Big City",2024-02-28,Dance,Dubstep,3,USLZJ2403314,"Weed Spot",,"Big City",,,02:08,Dance,Dubstep
"DirtySnatcha Records",DSR120,197999919410,"The Tundra",,Barooka,2024-02-23,Dance,Dubstep,1,QZ5FN2461919,iDISTORT,,Barooka,,,03:11,Dance,Dubstep
"DirtySnatcha Records",DSR120,197999919410,"The Tundra",,Barooka,2024-02-23,Dance,Dubstep,2,QZ5FN2461916,Pressure,,Barooka,,,03:11,Dance,Dubstep
"DirtySnatcha Records",DSR120,197999919410,"The Tundra",,Barooka,2024-02-23,Dance,Dubstep,3,QZ5FN2445584,Screechboi,,Barooka,,,03:11,Dance,Dubstep
"DirtySnatcha Records",DSR120,197999919410,"The Tundra",,Barooka,2024-02-23,Dance,Dubstep,4,QZ5FN2445564,Icepick,,Barooka,,,03:18,Dance,Dubstep
"DirtySnatcha Records",DSR123,198342036280,"No Problems",,"Big City",2024-02-19,Dance,Dubstep,1,USLZJ2403319,"No Problems!",,"Big City",Tonzology,,03:24,Dance,Dubstep
"DirtySnatcha Records",DSR123,198342036280,"No Problems",,"Big City",2024-02-19,Dance,Dubstep,2,USLZJ2403314,"Weed Spot",,"Big City",,,02:08,Dance,Dubstep
"DirtySnatcha Records",DSR127,198342042182,Tartarus,,CRiiOZ,2024-02-16,Dance,Dubstep,1,USLZJ2405562,"In The Walls",,CRiiOZ,,,02:23,Dance,Dubstep
"DirtySnatcha Records",DSR127,198342042182,Tartarus,,CRiiOZ,2024-02-16,Dance,Dubstep,2,USLZJ2405588,"Watch Out",,CRiiOZ,,,02:59,Dance,Dubstep
"DirtySnatcha Records",DSR127,198342042182,Tartarus,,CRiiOZ,2024-02-16,Dance,Dubstep,3,USLZJ2405590,Psycho,,"CRiiOZ,DSTRTN",,,02:01,Dance,Dubstep
"DirtySnatcha Records",DSR127,198342042182,Tartarus,,CRiiOZ,2024-02-16,Dance,Dubstep,4,USLZJ2405591,Trust,,CRiiOZ,,,02:54,Dance,Dubstep
"DirtySnatcha Records",DSR127,198342042182,Tartarus,,CRiiOZ,2024-02-16,Dance,Dubstep,5,USLZJ2405592,"Let Go",,CRiiOZ,,,02:37,Dance,Dubstep
"DirtySnatcha Records",DSR119,197999919403,Pressure,,Barooka,2024-02-14,Dance,Dubstep,1,QZ5FN2461916,Pressure,,Barooka,,,03:11,Dance,Dubstep
"DirtySnatcha Records",DSR119,197999919403,Pressure,,Barooka,2024-02-14,Dance,Dubstep,2,QZ5FN2445584,Screechboi,,Barooka,,,03:11,Dance,Dubstep
"DirtySnatcha Records",DSR119,197999919403,Pressure,,Barooka,2024-02-14,Dance,Dubstep,3,QZ5FN2445564,Icepick,,Barooka,,,03:18,Dance,Dubstep
"DirtySnatcha Records",DSR126,198342042069,"In The Walls",,CRiiOZ,2024-02-12,Dance,Dubstep,1,USLZJ2405562,"In The Walls",,CRiiOZ,,,02:23,Dance,Dubstep
"DirtySnatcha Records",DSR122,198342036228,"Weed Spot",,"Big City",2024-02-09,Dance,Dubstep,1,USLZJ2403314,"Weed Spot",,"Big City",,,02:08,Dance,Dubstep
"DirtySnatcha Records",DSR118,197999919328,Screechboi,,Barooka,2024-02-05,Dance,Dubstep,1,QZ5FN2445584,Screechboi,,Barooka,,,03:11,Dance,Dubstep
