TITLE,ISRC,WRITER_LAST,WRITER_FIRST,WRITER_IPI,WRITER_PRO,WRITER_SHARE_%,PUBLISHER_NAME,PUBLISHER_IPI,PUBLISHER_SHARE_%,RELEASE_DATE,LABEL,NOTES
5 0,,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write - missing ISRC | ISWC T3276134175
AK-47,QM42K1503104,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
Alien Shit,USLZJ2122495,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2021-04-16,DirtySnatcha,feat Chase The Dream - Snatched Vol 2
All Out VIP,QM42K1856457,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2018-06-01,DirtySnatcha Records,co-write Renegvde (Andrei Bjerke)
Bass Slap,,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,co-write Brock Thornton (BMI 783592596) - missing ISRC | ISWC T3253356462
Blazin,USLZJ1922763,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2019-06-14,DirtySnatcha,co-write Scott Garbutt (BMI) / Subject 31 - Snatched Vol.1
Blunts On Em,,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write - missing ISRC | ISWC T3276045564
Break That,USLZJ1922762,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2019-06-14,DirtySnatcha,co-write Jeffrey Meade (BMI) / Creation - Snatched Vol.1
Bring It Back,USDM32024001,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2020-06-12,Dim Mak,Riot Ten feat - Hype Or Die: Emergence
Can You Feel,USLZJ2122505,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-04-16,DirtySnatcha,Snatched Vol 2
Come Get Some,USLZJ1922778,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2019-06-14,DirtySnatcha,co-write Andrew Dravecz (BMI) / Kris Cayden - Snatched Vol.1
Cosmic Sounds,USLZJ2122502,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2021-04-16,DirtySnatcha,Snatched Vol 2
Crashing,GBWUL2054729,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,2020-03-27,DirtySnatcha,co-write Matt Doe (SOCAN 00829048422)
Cruisin,,Bray,Leigh,01017500116,BMI,100,LAB10 Publishing,1262829440,100,2025-01-30,DirtySnatcha,solo write - missing ISRC | ISWC T3303169399
Damn GURL,QM42K1784644,Bray,Leigh,01017500116,BMI,50,DirtySnatcha Records Publishing,1238282844,50,,DirtySnatcha,co-write Monxx (Joshua Carling)
Dance With Me,QZ5FN2096166,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,2020-08-24,DirtySnatcha,solo write
Doodle Doo,GBWUL2071410,Bray,Leigh,01017500116,BMI,100,DirtySnatcha Records Publishing,1238282844,100,,DirtySnatcha,solo write
