PRIMARY TITLE *,MLC SONG CODE,MEMBERS SONG ID,ISWC          ,AKA TITLE †,AKA TITLE TYPE CODE †,WRITER LAST NAME *,WRITER FIRST NAME ,WRITER IPI NUMBER,WRITER ROLE CODE *,MLC PUBLISHER NUMBER,PUBLISHER NAME *,PUBLISHER IPI NUMBER *,ADMINISTRATOR MLC PUBLISHER NUMBER,ADMINISTRATOR NAME †,COLLECTION SHARE *,RECORDING TITLE †,RECORDING ARTIST NAME †,RECORDING ISRC,RECORDING LABEL
5 0,,DSR-055,T3276134175,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,5 0,DirtySnatcha,,DirtySnatcha
AK-47,,DSR-001,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,AK-47,DirtySnatcha,QM42K1503104,DirtySnatcha
Alien Shit,,DSR-002,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Alien Shit,DirtySnatcha,USLZJ2122495,DirtySnatcha
All Out VIP,,DSR-003,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,All Out VIP,DirtySnatcha,QM42K1856457,DirtySnatcha Records
Bass Slap,,DSR-056,T3253356462,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Bass Slap,DirtySnatcha,,DirtySnatcha
Blazin,,DSR-057,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Blazin,DirtySnatcha,USLZJ1922763,DirtySnatcha
Blunts On Em,,DSR-058,T3276045564,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Blunts On Em,DirtySnatcha,,DirtySnatcha
Break That,,DSR-059,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Break That,DirtySnatcha,USLZJ1922762,DirtySnatcha
Bring It Back,,DSR-004,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Bring It Back,DirtySnatcha,USDM32024001,Dim Mak
Can You Feel,,DSR-005,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Can You Feel,DirtySnatcha,USLZJ2122505,DirtySnatcha
Come Get Some,,DSR-060,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Come Get Some,DirtySnatcha,USLZJ1922778,DirtySnatcha
Cosmic Sounds,,DSR-006,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Cosmic Sounds,DirtySnatcha,USLZJ2122502,DirtySnatcha
Crashing,,DSR-007,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Crashing,DirtySnatcha,GBWUL2054729,DirtySnatcha
Cruisin,,DSR-061,T3303169399,,,Bray,Leigh,01017500116,CA,,LAB10 Publishing,1262829440,,,100,Cruisin,DirtySnatcha,,DirtySnatcha
