Release Date,Catalog #,UPC,ISRC,Product Title,Track,Track Title,Artist(s),Display Artist,Publlishers,Writers / Composers,Producers,Label,Parent Label,Spotify Link,Apple Music Link,Genre(s),Audio Language,Price Tier,Original Release Date,Exclusive,Pre-order Date,C Line,P Line,Compilation,Primary Metadata Language,Payment Splits,Explicit Lyrics,Lyrics,Column 11,Column 12,Column 13
11/11/2022,DSR0076A,198342502129,QZWDD2238845,Assertion,1,Assertion,Aalioura,Aalioura,DirtySnatcha Records Publishing (ASCAP),Writer / Composer - Jumana Khdour,,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
12/4/2020,DSR0030A,198342479100,GBRKQ2026555,Kinda Sus,1,Kinda Sus,Akronym,Akronym,DirtySnatcha Records Publishing (ASCAP),Joseph Torres,Joseph Torres,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
7/6/2022,DSR0070A,198342504093,GBRKQ2274076,Ground N' Pound,1,Ground N' Pound,"Akronym, FIGMVNT","Akronym, FIGMVNT",DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Joseph Ely Torres, Christopher May",,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
9/12/2023,DSR0101A,198342479643,QZWDD2336449,Spectre Season,1,Spectre Season,Artifact,Artifact,DirtySnatcha Records Publishing (ASCAP),Writer / Composer - Jack Davies,Jack Davies,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
5/24/2024,DSR134,198342768341,QZTRX2474922,Apple Sowce,1,Apple Sowce,Autokorekt,Autokorekt,LAB10 (BMI),Writer / Composer - Anthony Autolino ,Anthony Autolino,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
7/28/2023,DSR0098A,198342479759,QZTV32368009,High On Life,1,High On Life,"Autokorekt, Ashclappem","Autokorekt, Ashclappem",LAB10 (BMI),"Lyricist - Nathan Christie, Writer / Composer - Anthony Autolino",Anthony Autolino,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
12/6/2021,DSR0046A,198342492215,GBWUL2192863,Out Of Service,1,Out Of Service,"Autokorekt, ChemDawg, Versace","Autokorekt, ChemDawg, Versace",LAB10 (BMI),"Writer / Composer - Anthony Autolino, Ian Moses, Joshua Versace McCarthy",,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
2/10/2020,DSR0006A,198342476338,GBWUL2023530,Game Time,1,Game Time,"Autokorekt, Eazley, Rico Act","Autokorekt, Eazley, Rico Act",LAB10 (BMI),"Writer / Composer - Anthony Autolino, Alfred Mcgrew Rico, Terrel Koivu","Anthony Autolino, Alfred Mcgrew Rico, Terrel Koivu",DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
11/24/2023,DSR112,197999456380,QZZ8B2315613,Killas,1,Killas,"Bandido, TMBRWLF","Bandido, TMBRWLF",DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Aaron Lopez, Andrew Potter","Aaron Lopez, Andrew Potter",DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
9/30/2022,DSR0075A,198342502624,QZTRX2279102,MAYKYU,1,MAYKYU,"BANXY, SHOCKZ","BANXY, SHOCKZ",DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Tanner Swithenbank, Jordon Ainger",,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,$0.70 ($0.99 SLRP) - T2,,,,,,,English,,,,,,
2/23/2024,DSR120,197999919410,QZ5FN2461919,The Tundra,1,iDISTORT,Barooka,Barooka,DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Michael Zachary Thomas, Mike Silva","Michael Zachary Thomas, Mike Silva",DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,,,,,,,,English,,,,,,
2/23/2024,DSR120,197999919410,QZ5FN2461916,The Tundra,2,Pressure,Barooka,Barooka,DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Michael Zachary Thomas, Mike Silva","Michael Zachary Thomas, Mike Silva",DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,,,,,,,,English,,,,,,
2/23/2024,DSR120,197999919410,QZ5FN2445584,The Tundra,3,Screechboi,Barooka,Barooka,DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Michael Zachary Thomas, Mike Silva","Michael Zachary Thomas, Mike Silva",DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,,,,,,,,English,,,,,,
2/23/2024,DSR120,197999919410,QZ5FN2445564,The Tundra,4,Icepick,Barooka,Barooka,DirtySnatcha Records Publishing (ASCAP),"Writer / Composer - Michael Zachary Thomas, Mike Silva","Michael Zachary Thomas, Mike Silva",DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,,,,,,,,English,,,,,,
9/15/2023,DSR0096A,198342479889,QZTV32366095,Black & Gold,1,Eight Six,BBX,BBX,LAB10 (BMI),Writer / Composer - Jordan Reid,Joran Reid,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,,,,,,,,English,,,,,,
9/15/2023,DSR0096A,198342479889,QZTV32366677,Black & Gold,2,Black & Gold,BBX,BBX,LAB10 (BMI),Writer / Composer - Jordan Reid,Joran Reid,DirtySnatcha Records,EDM Spotlight,,,Electronic > Dubstep,English,,,,,,,,English,,,,,,
