PRIMARY TITLE,MLC SONG CODE,MEMBERS SONG ID,ISWC,AKA TITLE,AKA TITLE TYPE CODE,WRITER LAST NAME,WRITER FIRST NAME,WRITER IPI NUMBER,WRITER ROLE CODE,MLC PUBLISHER NUMBER,PUBLISHER NAME,PUBLISHER IPI NUMBER,ADMINISTRATOR MLC PUBLISHER NUMBER,ADMINISTRATOR NAME,COLLECTION SHARE,RECORDING TITLE,RECORDING ARTIST NAME,RECORDING ISRC,RECORDING LABEL
Assertion,,DSR-ASCAP-200,,,, Khdour,Jumana,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Assertion,Aalioura,QZWDD2238845,DirtySnatcha Records
Kinda Sus,,DSR-ASCAP-201,,,,Torres,Joseph,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Kinda Sus,Akronym,GBRKQ2026555,DirtySnatcha Records
Ground N' Pound,,DSR-ASCAP-202,,,,Torres,Joseph Ely,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Ground N' Pound,"Akronym, FIGMVNT",GBRKQ2274076,DirtySnatcha Records
Ground N' Pound,,DSR-ASCAP-202,,,,May,Christopher,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Ground N' Pound,"Akronym, FIGMVNT",GBRKQ2274076,DirtySnatcha Records
Spectre Season,,DSR-ASCAP-203,,,,Davies,Jack,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Spectre Season,Artifact,QZWDD2336449,DirtySnatcha Records
Killas,,DSR-ASCAP-204,,,,Lopez,Aaron,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Killas,"Bandido, TMBRWLF",QZZ8B2315613,DirtySnatcha Records
Killas,,DSR-ASCAP-204,,,,Potter,Andrew,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Killas,"Bandido, TMBRWLF",QZZ8B2315613,DirtySnatcha Records
MAYKYU,,DSR-ASCAP-205,,,,Swithenbank,Tanner,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,MAYKYU,"BANXY, SHOCKZ",QZTRX2279102,DirtySnatcha Records
MAYKYU,,DSR-ASCAP-205,,,,Ainger,Jordon,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,MAYKYU,"BANXY, SHOCKZ",QZTRX2279102,DirtySnatcha Records
Icepick,,DSR-ASCAP-206,,,,Thomas,Michael Zachary,,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Icepick,Barooka,QZ5FN2445564,DirtySnatcha Records
