ISRC,Track Title,Artist,Label,Release Year,Notes
QZZ8A2432901,She Bangs Like a Fairy on Acid,DirtySnatcha / Luci,DirtySnatcha,2024,Self-released
QZTV32416252,Home,DirtySnatcha,DirtySnatcha,2024,Self-released
GBRKQ2382127,Spacecraft,DirtySnatcha,DirtySnatcha,2023,Self-released
GBRKQ2322533,K.O.,DirtySnatcha,DirtySnatcha,2023,Self-released
GBRKQ2277569,Old School,DirtySnatcha / In Orbit Dubz,DirtySnatcha,2022,Self-released
USLZJ2286477,Lover (Urbanstep Remix),DirtySnatcha,DirtySnatcha,2022,Self-released; Urbanstep as remixer
QZ5FN2200966,Move Back,DirtySnatcha / Point.Blank,DirtySnatcha,2022,Self-released
QZTRX2132962,Keep Moving,DirtySnatcha,DirtySnatcha,2022,Self-released
GBRKQ2121249,Tonight,DirtySnatcha,DirtySnatcha,2021,Self-released
USLZJ2122517,Take Me Up,DirtySnatcha,DirtySnatcha,2021,Snatched Vol 2
USLZJ2122508,I'm a Savage,DirtySnatcha,DirtySnatcha,2021,Snatched Vol 2
USLZJ2122505,Can You Feel,DirtySnatcha,DirtySnatcha,2021,Snatched Vol 2
USLZJ2122502,Cosmic Sounds,DirtySnatcha,DirtySnatcha,2021,Snatched Vol 2
USLZJ2122495,Alien Shit,DirtySnatcha / Chase the Dream,DirtySnatcha,2021,Snatched Vol 2
QZ5FN2132637,Found Myself,DirtySnatcha / Katie Sky,DirtySnatcha,2021,Self-released
QZ5FN2096166,Dance With Me,DirtySnatcha,DirtySnatcha,2020,Self-released
QZ5FN2068874,Lover,DirtySnatcha,DirtySnatcha,2020,Self-released
QZ5FN2012069,Need U,DirtySnatcha / Autokorekt,DirtySnatcha,2020,Self-released
GBWUL2077085,Head Bang,DirtySnatcha,DirtySnatcha,2020,Self-released
GBWUL2054729,Crashing,DirtySnatcha / Matt Doe,DirtySnatcha,2020,Self-released
GBWUL2041081,It Ain't Over,DirtySnatcha,DirtySnatcha,2020,Self-released
GBWUL1922930,Head Drop,DirtySnatcha,DirtySnatcha,2019,Self-released
USLZJ1989291,Falling,DirtySnatcha,DirtySnatcha,2019,Self-released
USLZJ1922798,Step Aside,DirtySnatcha,DirtySnatcha,2019,Snatched compilation
USLZJ1922778,Come Get Some,DirtySnatcha / Kris Cayden,DirtySnatcha,2019,Snatched compilation
USLZJ1922763,Blazin,DirtySnatcha / Subject 31,DirtySnatcha,2019,Snatched compilation
USLZJ1922762,Break That,DirtySnatcha / Creation,DirtySnatcha,2019,Snatched compilation
USLZJ1922760,Westside Rollin,DirtySnatcha,DirtySnatcha,2019,Snatched compilation
USLZJ1922758,Shake The Block,DirtySnatcha,DirtySnatcha,2019,Snatched compilation
USLZJ1903529,Set Me Free,DirtySnatcha,DirtySnatcha,2019,Self-released
QZ5FN1992011,Free,DirtySnatcha,DirtySnatcha,2019,Self-released
QZ5FN1978630,Wasted,DirtySnatcha / Mvrkk,DirtySnatcha,2019,Self-released
QM42K1908356,Tear Up,DirtySnatcha,DirtySnatcha,2019,Self-released
QM42K1941324,Not Letting Go,DirtySnatcha,DirtySnatcha,2019,Self-released
QM42K1907604,Heavy Duty,DirtySnatcha,DirtySnatcha,2019,Self-released
QM42K1815208,Rush,DirtySnatcha,DirtySnatcha,2019,Self-released
QM42K1831183,Get Fucked,DirtySnatcha,DirtySnatcha Records,2018,DSR release
QM42K1849049,IGDITB,DirtySnatcha,DirtySnatcha Records,2018,DSR release; AKA Its Going Down In This Bitch
QM42K1847914,Move,DirtySnatcha,DirtySnatcha Records,2018,DSR release
QM42K1895336,Nu Fire,DirtySnatcha,DirtySnatcha,2018,Self-released
QM42K1854706,Fuck Face,DirtySnatcha,DirtySnatcha Records,2018,DSR release
QM42K1856457,All Out VIP,DirtySnatcha,DirtySnatcha Records,2018,DSR release
QM42K1856648,Thin Air,DirtySnatcha,DirtySnatcha Promotions,2018,DSP release
QM42K1880165,Higher,DirtySnatcha,Dead Cell Audio,2018,Compilation - confirm DSR retains master
CA5KR2019733,Unknown Track (ElectroStep),DirtySnatcha,ElectroStep Network,2020,Track title unknown - confirm with Thomas
QM42K1784644,Damn GURL,DirtySnatcha,DirtySnatcha,2017,Older track
GBWUL2071410,Doodle Doo,DirtySnatcha,DirtySnatcha,2020,Self-released
QM42K1853983,God Damn,DirtySnatcha,DirtySnatcha,2018,Older track
QM42K1601430,Hash / Pack Gats,DirtySnatcha,DirtySnatcha,2017,Older track - confirm title
QM42K1607007,Hoes,DirtySnatcha,DirtySnatcha,2017,Older track
