"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",USA,Streaming,Single,Void,0,-2.269989000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.989534000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.837734000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.427756000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.227038000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.149673000000
AUG-24,"DirtySnatcha Records",Whoa,,"KirbyBright, Devious",198342485866,DSR133,Whoa,,GBWUL2431903,"KirbyBright, Devious",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.111896000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.070593000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.064729000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.060551000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,4,-0.059600000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.055543000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.050175000000
AUG-24,"DirtySnatcha Records",Riddimption,,"Nothing x Hurts",198622420181,DSR136,Riddimption,,QZWV32419969,"Nothing x Hurts","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,2,-0.048800000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",CAN,Streaming,Single,Void,0,-0.034383000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.034361000000
AUG-24,"DirtySnatcha Records","Keep Moving","Aelius, Voyager, Wilco Beats Remix",DirtySnatcha,198342499863,DSR0083A,"Keep Moving","Aelius, Voyager, Wilco Beats Remix",QZWDD2263373,"DirtySnatcha, Aelius, Voyager, Wilco Beats",Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.030590000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,"Beatport Promotional Expense","August 2024",USA,Download,Single,Void,2,-0.029800000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.026092000000
AUG-24,"DirtySnatcha Records",Bloodthirsty,,Howker,198342475331,DSR0004A,Bloodthirsty,,GBWUL1958037,Howker,Spotify,"August 2024",USA,Streaming,Single,Void,0,-0.022690000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.022534000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",USA,Download,Single,Void,1,-0.022400000000
AUG-24,"DirtySnatcha Records","Spectre Season",,Artifact,198342479643,,"Spectre Season",,QZWDD2336449,Artifact,"Beatport Promotional Expense","August 2024",USA,Download,Release,Void,1,-0.022400000000
AUG-24,"DirtySnatcha Records","Keep Moving","Audigy Remix",DirtySnatcha,197999143198,,"Keep Moving","Audigy Remix",QZWV32320452,"DirtySnatcha, Audigy","Beatport Promotional Expense","August 2024",USA,Download,Release,Void,1,-0.022400000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.020830000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.019830000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",NLD,Streaming,Single,Void,0,-0.019554000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",GBR,Streaming,Single,Void,0,-0.018169000000
AUG-24,"DirtySnatcha Records","Genie In a Bottle",,"DirtySnatcha, Luci",198342437506,DSR132,"Genie In a Bottle",,GBWUL2407705,"DirtySnatcha, Luci","Beatport Promotional Expense","August 2024",CAN,Download,Single,Void,1,-0.017900000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",AUS,Streaming,Single,Void,0,-0.017763000000
AUG-24,"DirtySnatcha Records",Riddimption,,"Nothing x Hurts",198622420181,DSR136,Riddimption,,QZWV32419969,"Nothing x Hurts","Beatport Promotional Expense","August 2024",THA,Download,Single,Void,1,-0.016900000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,Psycho,,USLZJ2405590,"CRiiOZ, DSTRTN",Spotify,"August 2024",FRA,Streaming,Single,Void,0,-0.016452000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",MEX,Streaming,Single,Void,0,-0.016318000000
AUG-24,"DirtySnatcha Records",Nightmare,,"In Orbit Dubz",198342501320,DSR0080A,Nightmare,,QZWDD2257336,"In Orbit Dubz",Spotify,"August 2024",DEU,Streaming,Single,Void,0,-0.015299000000
