"PRIMARY TITLE","MLC SONG CODE","MEMBERS SONG ID","ISWC","AKA TITLE","AKA TITLE TYPE CODE","WRITER LAST NAME","WRITER FIRST NAME","WRITER IPI NUMBER","WRITER ROLE CODE","MLC PUBLISHER NUMBER","PUBLISHER NAME","PUBLISHER IPI NUMBER","ADMINISTRATOR MLC PUBLISHER NUMBER","ADMINISTRATOR NAME","COLLECTION SHARE","RECORDING TITLE","RECORDING ARTIST NAME","RECORDING ISRC","RECORDING LABEL"
"Cruisin","","DSR-061","T3303169399","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Cruisin","DirtySnatcha","","DirtySnatcha"
"Good Vibez","","DSR-064","T3303169708","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Good Vibez","DirtySnatcha","","DirtySnatcha"
"Pimpin","","DSR-071","T3303256062","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Pimpin","DirtySnatcha","","DirtySnatcha"
"Run It Up","","DSR-073","T3303169504","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Run It Up","DirtySnatcha","","DirtySnatcha"
"Shatter","","DSR-076","T3303256197","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Shatter","DirtySnatcha","","DirtySnatcha"
"Vibrate","","DSR-081","T3303255763","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Vibrate","DirtySnatcha","","DirtySnatcha"
"Voices","","DSR-082","T3303169560","","","Bray","Leigh","01017500116","CA","","LAB10 Publishing","1262829440","","","100","Voices","DirtySnatcha","","DirtySnatcha"
"Apple Sowce","","DSR-LAB-100","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Apple Sowce","Autokorekt","QZTRX2474922","DirtySnatcha Records"
"High On Life","","DSR-LAB-101","","","","Christie","Nathan","","CA","","LAB10 Publishing","1262829440","","","100","High On Life","Autokorekt, Ashclappem","QZTV32368009","DirtySnatcha Records"
"High On Life","","DSR-LAB-101","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","High On Life","Autokorekt, Ashclappem","QZTV32368009","DirtySnatcha Records"
"Out Of Service","","DSR-LAB-102","","","","Autolino","Anthony","","CA","","LAB10 Publishing","1262829440","","","100","Out Of Service","Autokorekt, ChemDawg, Versace","GBWUL2192863","DirtySnatcha Records"
